Player 1,Player 2,Winner,n_moves
,Baseline,Player 1 (MinMax),0
,Baseline,Player 1 (MinMax),0
,Baseline,Player 1 (MinMax),0
,Baseline,Player 1 (MinMax),0
,Baseline,Player 1 (MinMax),0
,Baseline,Player 1 (MinMax),0
,Baseline,Player 1 (MinMax),0
,Baseline,Player 1 (MinMax),0
,Baseline,Player 1 (MinMax),0
,Baseline,Player 1 (MinMax),0
,Baseline,Player 1 (MinMax),0
,Baseline,Player 1 (MinMax),0
,Baseline,Player 1 (MinMax),0
,Baseline,Player 1 (MinMax),0
,Baseline,Player 1 (MinMax),0
,Baseline,Player 1 (MinMax),0
,Baseline,Player 1 (MinMax),0
