state,0,1,2,3,4,5,6
oo   o x xxx xoxoo ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o    x   ,0.0,0.0,0.0,1.962,0.6,0.0,0.0
o    xx   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o    xxo   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oo   x xxo x  ,0.0,0.0,-0.8999999999999999,0.0,0.0,0.0,0.0
oo  o x xxo x  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x       ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x   o    ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xoo xx x o    ,1.5,0.0,0.0,0.0,0.0,0.0,0.0
xooo xx x o    ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xoooxo xxxoxo x ox    ,0.0,0.0,0.0,-0.6,0.0,0.0,0.0
xoooxo xxxoxo x oxo    ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o     x xo ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 xx  o    ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 xx  o   o ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o    xo x  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x o      ,0.6,0.0,0.0,0.0,0.0,0.0,0.0
x ox      ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x ox o     ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xxoo ox oxx     ,0.0,0.0,0.0,0.0,0.0,0.0,-3.6
xxoo ox oxx    o ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ooox   ox x x x ,0.0,0.0,0.0,0.0,0.0,0.6,0.0
ooox   ox x xo x ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oooxo   oxx xx xo x ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oooxo   oxx xx xoo x ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xo x     o ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xo x x    o ,0.0,-1.5,-1.5,0.0,0.0,0.0,0.0
xo xo x    o ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
       ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 o x  x   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x   xo o   ,0.0,0.0,0.0,0.6,0.0,0.0,0.0
x   xox o   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
     x  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
